,Building_ID,Building_Name,Year_Built,Total_Sqft,Building_Classification,Building_Use,Facility
128930,BL85856,Unknown,2013.0,,Residential,RESIDENTIAL,Other
128931,BL85857,Unknown,2013.0,,Residential,RESIDENTIAL,Other
128932,BL85859,Unknown,2013.0,,Residential,RESIDENTIAL,Other
128935,BL85860,Unknown,2013.0,,Residential,RESIDENTIAL,Other
128936,BL85861,Unknown,2013.0,,Residential,RESIDENTIAL,Other
128937,BL85862,Unknown,2013.0,,Residential,RESIDENTIAL,Other
128938,BL85863,Unknown,2013.0,,Residential,RESIDENTIAL,Other
128939,BL85864,Unknown,2013.0,,Residential,RESIDENTIAL,Other
128940,BL85865,Unknown,2013.0,,Residential,RESIDENTIAL,Other
128941,BL85866,Unknown,2013.0,,Residential,RESIDENTIAL,Other
128942,BL85867,Unknown,2013.0,,Residential,RESIDENTIAL,Other
128944,BL85868,Unknown,2013.0,,Residential,RESIDENTIAL,Other
128945,BL85869,Unknown,2013.0,,Commercial,REPAIR GARAGE,Other
128948,BL85870,Unknown,2013.0,,Residential,RESIDENTIAL,Other
128949,BL85871,Unknown,2013.0,,Residential,RESIDENTIAL,Other
128950,BL85872,Unknown,2013.0,,Residential,RESIDENTIAL,Other
128951,BL85873,Unknown,2013.0,,Institutional,DAYCARE,Other
128952,BL85874,Unknown,2012.0,,Institutional,DAYCARE,Other
128955,BL85875,Unknown,2013.0,,Residential,RESIDENTIAL,Other
128956,BL85876,Unknown,2013.0,,Residential,RESIDENTIAL,Other
128957,BL85877,Unknown,2013.0,,Residential,RESIDENTIAL,Other
128959,BL85878,Unknown,2013.0,,Residential,RESIDENTIAL,Other
128960,BL85879,Unknown,2013.0,,Residential,RESIDENTIAL,Other
128962,BL85880,Unknown,2013.0,,Residential,RESIDENTIAL,Other
128963,BL85881,Unknown,2013.0,,Residential,RESIDENTIAL,Other
128964,BL85882,Unknown,2013.0,,Residential,RESIDENTIAL,Other
128965,BL85883,Unknown,2013.0,,Residential,RESIDENTIAL,Other
128966,BL85884,Unknown,2013.0,,Residential,RESIDENTIAL,Other
128967,BL85885,Unknown,2012.0,,Residential,RESIDENTIAL,Other
128968,BL85886,Unknown,2013.0,,Residential,RESIDENTIAL,Other
128970,BL85887,Unknown,2013.0,,Residential,RESIDENTIAL,Other
128971,BL85888,Unknown,2013.0,,Residential,RESIDENTIAL,Other
128972,BL85889,Unknown,2013.0,,Residential,RESIDENTIAL,Other
128975,BL85890,Unknown,2013.0,,Residential,RESIDENTIAL,Other
128976,BL85891,Unknown,2013.0,,Residential,RESIDENTIAL,Other
128977,BL85892,Unknown,2013.0,,Residential,RESIDENTIAL,Other
128978,BL85893,Unknown,2013.0,,Residential,RESIDENTIAL,Other
128979,BL85894,Unknown,2013.0,,Residential,RESIDENTIAL,Other
128981,BL85895,Unknown,2013.0,,Residential,RESIDENTIAL,Other
128982,BL85896,Unknown,2013.0,,Residential,RESIDENTIAL,Other
128983,BL85897,Unknown,2013.0,,Residential,RESIDENTIAL,Other
128984,BL85898,Unknown,2013.0,,Residential,RESIDENTIAL,Other
128985,BL85899,Unknown,2013.0,,Residential,RESIDENTIAL,Other
128988,BL85900,Unknown,2013.0,,Residential,RESIDENTIAL,Other
128990,BL85901,Unknown,2013.0,,Residential,RESIDENTIAL,Other
128991,BL85902,Unknown,2013.0,,Residential,RESIDENTIAL,Other
128992,BL85903,Unknown,2013.0,,Residential,RESIDENTIAL,Other
128993,BL85904,Unknown,2013.0,,Residential,RESIDENTIAL,Other
128994,BL85905,Unknown,2013.0,,Residential,RESIDENTIAL,Other
128996,BL85906,ST JOHNS ANGLICAN CHURCH,2013.0,10000.0,Institutional,PLACE OF WORSHIP,Other
128998,BL85907,Unknown,2013.0,,Residential,RESIDENTIAL,Other
129000,BL85908,Unknown,2013.0,,Residential,RESIDENTIAL,Other
129001,BL85909,Unknown,2013.0,,Residential,RESIDENTIAL,Other
129003,BL85910,Unknown,2013.0,,Residential,RESIDENTIAL,Other
129005,BL85911,Unknown,2013.0,,Residential,RESIDENTIAL,Other
129006,BL85912,Unknown,2013.0,,Residential,RESIDENTIAL,Other
129007,BL85913,Unknown,2013.0,,Residential,RESIDENTIAL,Other
129008,BL85914,Unknown,2013.0,,Residential,RESIDENTIAL,Other
129009,BL85915,Unknown,2013.0,,Residential,RESIDENTIAL,Other
129010,BL85916,Unknown,2013.0,,Residential,RESIDENTIAL,Other
129011,BL85917,Unknown,2013.0,,Residential,RESIDENTIAL,Other
129012,BL85918,Unknown,2005.0,,Residential,RESIDENTIAL,Other
129026,BL85945,Unknown,2013.0,,Residential,RESIDENTIAL,Other
129027,BL85946,Unknown,2013.0,,Residential,RESIDENTIAL,Other
129029,BL85947,Unknown,2013.0,,Residential,RESIDENTIAL,Other
129032,BL85948,Unknown,2013.0,,Residential,RESIDENTIAL,Other
129036,BL85949,Unknown,2013.0,,Commercial,OFFICE,Other
129047,BL85950,Unknown,2013.0,,Residential,RESIDENTIAL,Other
129049,BL85951,Unknown,2013.0,,Residential,RESIDENTIAL,Other
129051,BL85952,Unknown,2013.0,,Residential,RESIDENTIAL,Other
129053,BL85953,Unknown,2013.0,,Residential,RESIDENTIAL,Other
129055,BL85954,Unknown,2013.0,,Residential,RESIDENTIAL,Other
129057,BL85955,Unknown,2013.0,,Commercial,MEDICAL OFFICE,Other
129059,BL85956,Unknown,2013.0,,Residential,RESIDENTIAL,Other
129063,BL85957,Unknown,2013.0,,Residential,RESIDENTIAL,Other
129073,BL85958,Unknown,2013.0,,Residential,RESIDENTIAL,Other
129077,BL85960,Unknown,2013.0,,Residential,RESIDENTIAL,Other
129085,BL85961,Unknown,2013.0,,Residential,RESIDENTIAL,Other
129094,BL85962,Unknown,2013.0,,Residential,RESIDENTIAL,Other
129096,BL85963,Unknown,2013.0,,Residential,RESIDENTIAL,Other
129098,BL85964,Unknown,2013.0,,Residential,RESIDENTIAL,Other
129100,BL85965,Unknown,2013.0,,Residential,RESIDENTIAL,Other
129102,BL85966,Unknown,2013.0,,Institutional,POST SECONDARY,Other
129104,BL85967,Unknown,2013.0,,Residential,RESIDENTIAL,Other
129106,BL85968,Unknown,2013.0,,Residential,RESIDENTIAL,Other
129108,BL85969,Unknown,2013.0,,Residential,RESIDENTIAL,Other
129114,BL85970,Unknown,2013.0,,Residential,RESIDENTIAL,Other
129117,BL85971,Unknown,2013.0,,Residential,RESIDENTIAL,Other
129118,BL85972,Unknown,2012.0,,Residential,RESIDENTIAL,Other
129119,BL85973,Unknown,2013.0,,Residential,RESIDENTIAL,Other
129122,BL85974,Unknown,2013.0,,Residential,RESIDENTIAL,Other
129123,BL85975,Unknown,2013.0,,Residential,RESIDENTIAL,Other
129124,BL85976,Unknown,2013.0,,Residential,RESIDENTIAL,Other
129125,BL85977,Unknown,2013.0,,Residential,RESIDENTIAL,Other
129126,BL85978,Unknown,2013.0,,Residential,RESIDENTIAL,Other
129128,BL85979,Unknown,2013.0,,Residential,RESIDENTIAL,Other
129131,BL85980,Unknown,2013.0,,Residential,RESIDENTIAL,Other
129132,BL85981,Unknown,2013.0,,Residential,RESIDENTIAL,Other
129133,BL85982,Unknown,2013.0,,Residential,RESIDENTIAL,Other
129134,BL85983,Unknown,2013.0,,Residential,RESIDENTIAL,Other
129136,BL85984,Unknown,2013.0,,Residential,RESIDENTIAL,Other
129138,BL85985,Unknown,2013.0,,Residential,RESIDENTIAL,Other
129143,BL85986,Unknown,2013.0,,Residential,RESIDENTIAL,Other
129145,BL85987,Unknown,2013.0,,Residential,RESIDENTIAL,Other
129146,BL85988,Unknown,2013.0,,Residential,RESIDENTIAL,Other
129147,BL85989,Unknown,2013.0,,Residential,RESIDENTIAL,Other
129150,BL85991,Unknown,2013.0,,Residential,RESIDENTIAL,Other
129151,BL85992,Unknown,2013.0,,Residential,RESIDENTIAL,Other
129152,BL85993,Unknown,2013.0,,Residential,RESIDENTIAL,Other
129153,BL85994,Unknown,2013.0,,Residential,RESIDENTIAL,Other
129154,BL85995,Unknown,2013.0,,Residential,RESIDENTIAL,Other
129162,BL85997,Unknown,2013.0,,Residential,RESIDENTIAL,Other
129243,BL86037,DOREY HOUSE,1848.0,,Residential,RESIDENTIAL,Other
129274,BL86122,Unknown,2013.0,,Residential,RESIDENTIAL,Other
129275,BL86123,Unknown,2013.0,,Residential,RESIDENTIAL,Other
129276,BL86124,Unknown,2013.0,,Residential,RESIDENTIAL,Other
129277,BL86125,Unknown,2013.0,,Residential,RESIDENTIAL,Other
129281,BL86126,Unknown,2013.0,,Commercial,STRIP MALL,Other
129287,BL86127,Unknown,2013.0,,Residential,RESIDENTIAL,Other
129288,BL86128,Unknown,2013.0,,Residential,RESIDENTIAL,Other
129289,BL86129,Unknown,2013.0,,Residential,RESIDENTIAL,Other
129291,BL86130,Unknown,2013.0,,Residential,RESIDENTIAL,Other
129292,BL86131,Unknown,2013.0,,Residential,RESIDENTIAL,Other
129293,BL86132,Unknown,2013.0,,Residential,RESIDENTIAL,Other
129294,BL86133,Unknown,2013.0,,Residential,RESIDENTIAL,Other
129295,BL86134,Unknown,2013.0,,Residential,RESIDENTIAL,Other
129296,BL86135,Unknown,2013.0,,Residential,RESIDENTIAL,Other
129297,BL86136,Unknown,2013.0,,Residential,RESIDENTIAL,Other
129299,BL86137,Unknown,2013.0,,Residential,RESIDENTIAL,Other
129302,BL86138,Unknown,2013.0,,Residential,RESIDENTIAL,Other
129304,BL86139,Unknown,2013.0,,Residential,RESIDENTIAL,Other
129306,BL86140,Unknown,2013.0,,Residential,RESIDENTIAL,Other
129307,BL86141,Unknown,2013.0,,Residential,RESIDENTIAL,Other
129308,BL86142,Unknown,2013.0,,Residential,RESIDENTIAL,Other
129309,BL86143,Unknown,2013.0,,Residential,RESIDENTIAL,Other
129310,BL86144,Unknown,2013.0,,Residential,RESIDENTIAL,Other
129311,BL86145,Unknown,2013.0,,Residential,RESIDENTIAL,Other
129314,BL86146,Unknown,2013.0,,Residential,RESIDENTIAL,Other
129317,BL86147,Unknown,2013.0,,Residential,RESIDENTIAL,Other
129318,BL86148,THEATRE LOFTS,2010.0,,Residential,RESIDENTIAL,Other
129326,BL86149,Unknown,2013.0,,Commercial,HOTEL/MOTEL,Other
129328,BL86150,Unknown,2011.0,,Residential,RESIDENTIAL,Other
129329,BL86151,Unknown,2013.0,,Residential,RESIDENTIAL,Other
129331,BL86152,Unknown,2013.0,,Commercial,STRIP MALL,Other
129333,BL86153,Unknown,2013.0,,Residential,RESIDENTIAL,Other
129334,BL86154,Unknown,2013.0,,Residential,RESIDENTIAL,Other
129335,BL86155,Unknown,2013.0,,Residential,RESIDENTIAL,Other
129336,BL86156,Unknown,2013.0,,Residential,RESIDENTIAL,Other
129337,BL86157,Unknown,2013.0,,Residential,RESIDENTIAL,Other
129338,BL86158,Unknown,2013.0,,Commercial,OTHER RETAIL,Other
129340,BL86159,Unknown,2013.0,,Residential,RESIDENTIAL,Other
129342,BL86160,Unknown,2013.0,,Residential,RESIDENTIAL,Other
129343,BL86161,Unknown,2013.0,,Residential,RESIDENTIAL,Other
129344,BL86163,Unknown,2013.0,,Residential,RESIDENTIAL,Other
129345,BL86164,Unknown,2013.0,,Residential,RESIDENTIAL,Other
129347,BL86165,Unknown,2013.0,,Residential,RESIDENTIAL,Other
129349,BL86166,Unknown,2013.0,,Residential,RESIDENTIAL,Other
129354,BL86167,Unknown,2013.0,,Residential,RESIDENTIAL,Other
129355,BL86168,Unknown,2013.0,,Residential,RESIDENTIAL,Other
129357,BL86169,Unknown,2013.0,,Residential,RESIDENTIAL,Other
129360,BL86170,Unknown,2013.0,,Residential,RESIDENTIAL,Other
129368,BL86171,Unknown,2013.0,,Residential,RESIDENTIAL,Other
129369,BL86172,Unknown,2013.0,,Residential,RESIDENTIAL,Other
129370,BL86173,Unknown,2013.0,,Residential,RESIDENTIAL,Other
129374,BL86174,Unknown,2013.0,,Residential,RESIDENTIAL,Other
129378,BL86175,Unknown,2013.0,,Residential,RESIDENTIAL,Other
129379,BL86176,Unknown,2013.0,,Residential,RESIDENTIAL,Other
129380,BL86177,Unknown,2013.0,,Residential,RESIDENTIAL,Other
129381,BL86178,Unknown,2013.0,,Residential,RESIDENTIAL,Other
129388,BL86179,Unknown,2013.0,,Residential,RESIDENTIAL,Other
129393,BL86180,Unknown,2013.0,,Residential,RESIDENTIAL,Other
129398,BL86181,Unknown,2013.0,,Residential,RESIDENTIAL,Other
129399,BL86182,Unknown,2013.0,,Residential,RESIDENTIAL,Other
129400,BL86183,Unknown,2013.0,,Residential,RESIDENTIAL,Other
129401,BL86185,Unknown,2013.0,,Residential,RESIDENTIAL,Other
129402,BL86186,Unknown,2013.0,,Residential,RESIDENTIAL,Other
129403,BL86187,Unknown,2013.0,,Residential,RESIDENTIAL,Other
129404,BL86188,Unknown,2013.0,,Residential,RESIDENTIAL,Other
129405,BL86189,Unknown,2013.0,,Residential,RESIDENTIAL,Other
129408,BL86190,Unknown,2013.0,,Residential,RESIDENTIAL,Other
129409,BL86191,Unknown,2013.0,,Residential,RESIDENTIAL,Other
129410,BL86192,Unknown,2013.0,,Residential,RESIDENTIAL,Other
129411,BL86193,Unknown,2013.0,,Residential,RESIDENTIAL,Other
129412,BL86194,Unknown,2013.0,,Residential,RESIDENTIAL,Other
129653,BL85626,Unknown,2013.0,,Residential,RESIDENTIAL,Other
129654,BL85627,Unknown,2013.0,,Residential,RESIDENTIAL,Other
129655,BL85628,Unknown,2013.0,,Residential,RESIDENTIAL,Other
129656,BL85629,Unknown,2013.0,,Residential,RESIDENTIAL,Other
129658,BL85630,Unknown,2013.0,,Residential,RESIDENTIAL,Other
129659,BL85631,Unknown,2013.0,,Residential,RESIDENTIAL,Other
129660,BL85632,Unknown,2013.0,,Residential,RESIDENTIAL,Other
129662,BL85633,Unknown,2013.0,,Residential,RESIDENTIAL,Other
129663,BL85634,Unknown,2013.0,,Residential,RESIDENTIAL,Other
129664,BL85635,Unknown,2013.0,,Residential,RESIDENTIAL,Other
129665,BL85636,Unknown,2013.0,,Residential,RESIDENTIAL,Other
