,Building_ID,Building_Name,Year_Built,Total_Sqft,Building_Classification,Building_Use,Facility
3,BL100,EAST PRESTON RECREATION CENTRE,1996.0,16384.0,Recreation/Culture and Entertainment,RECREATION FACILITY,Other
94,BL1001,Unknown,2010.0,,Institutional,DAYCARE,Other
172,BL1002,Unknown,2010.0,,Institutional,DAYCARE,Other
207,BL100250,KILLICK,2014.0,,Residential,RESIDENTIAL,Other
209,BL100251,AQUA VISTA,2014.0,,Residential,RESIDENTIAL,Other
212,BL100252,Unknown,2016.0,,Residential,RESIDENTIAL,Other
213,BL100253,Unknown,2015.0,,Industrial,FACTORY/PLANT,Other
214,BL100254,Unknown,2016.0,,Residential,RESIDENTIAL,Other
215,BL100255,Unknown,2015.0,,Residential,RESIDENTIAL,Other
217,BL100257,Unknown,2016.0,,Commercial,AUTO DEALERSHIP,Other
219,BL100258,Unknown,2015.0,,Residential,RESIDENTIAL,Other
220,BL100259,Unknown,2015.0,,Residential,RESIDENTIAL,Other
222,BL100260,Unknown,2016.0,,Residential,RESIDENTIAL,Other
223,BL100261,Unknown,2016.0,,Residential,RESIDENTIAL,Other
224,BL100262,Unknown,2016.0,,Residential,RESIDENTIAL,Other
225,BL100263,Unknown,2016.0,,Residential,RESIDENTIAL,Other
226,BL100264,Unknown,2016.0,,Residential,RESIDENTIAL,Other
227,BL100265,Unknown,2016.0,,Residential,RESIDENTIAL,Other
228,BL100266,Unknown,2016.0,,Residential,RESIDENTIAL,Other
229,BL100267,Unknown,2016.0,,Residential,RESIDENTIAL,Other
230,BL100268,Unknown,2016.0,,Residential,RESIDENTIAL,Other
231,BL100269,Unknown,2016.0,,Residential,RESIDENTIAL,Other
233,BL100270,Unknown,2014.0,,Residential,RESIDENTIAL,Other
236,BL100271,Unknown,2009.0,,Residential,RESIDENTIAL,Other
237,BL100272,Unknown,2015.0,,Residential,RESIDENTIAL,Other
240,BL100273,Unknown,2015.0,,Residential,RESIDENTIAL,Other
241,BL100274,Unknown,2016.0,,Residential,RESIDENTIAL,Other
448,BL101,PORTLAND ESTATES ELEMENTARY SCHOOL,2000.0,49933.0,Institutional,PUBLIC SCHOOL,Other
1059,BL100632,Unknown,2012.0,,Residential,RESIDENTIAL,Other
1379,BL101821,Unknown,2016.0,,Residential,RESIDENTIAL,Other
1381,BL101822,Unknown,2015.0,,Residential,RESIDENTIAL,Other
1385,BL101823,Unknown,2016.0,,Residential,RESIDENTIAL,Other
1387,BL101824,Unknown,2016.0,,Residential,RESIDENTIAL,Other
1389,BL101825,Unknown,2016.0,,Residential,RESIDENTIAL,Other
1393,BL101826,Unknown,2016.0,,Residential,RESIDENTIAL,Other
1404,BL101827,Unknown,2016.0,,Residential,RESIDENTIAL,Other
1408,BL101828,Unknown,2016.0,,Residential,RESIDENTIAL,Other
1412,BL101829,Unknown,2016.0,,Residential,RESIDENTIAL,Other
1416,BL101830,Unknown,2016.0,,Residential,RESIDENTIAL,Other
1420,BL101831,Unknown,2016.0,,Residential,RESIDENTIAL,Other
1421,BL101832,Unknown,2016.0,,Residential,RESIDENTIAL,Other
1423,BL101833,Unknown,2016.0,,Residential,RESIDENTIAL,Other
1424,BL101834,Unknown,2015.0,,Residential,RESIDENTIAL,Other
1428,BL101835,Unknown,2016.0,,Commercial,OTHER SERVICE,Other
1432,BL101836,Unknown,2016.0,,Residential,RESIDENTIAL,Other
1434,BL101837,Unknown,2016.0,,Residential,RESIDENTIAL,Other
1436,BL101838,Unknown,2015.0,,Residential,RESIDENTIAL,Other
1438,BL101839,Unknown,2016.0,,Residential,RESIDENTIAL,Other
1444,BL101840,Unknown,2016.0,,Residential,RESIDENTIAL,Other
1447,BL101841,Unknown,2016.0,,Residential,RESIDENTIAL,Other
1450,BL101842,Unknown,1999.0,,Residential,RESIDENTIAL,Other
1452,BL101843,Unknown,1999.0,,Residential,RESIDENTIAL,Other
1454,BL101844,Unknown,2000.0,,Residential,RESIDENTIAL,Other
1456,BL101845,Unknown,2004.0,,Residential,RESIDENTIAL,Other
1458,BL101846,Unknown,2001.0,,Residential,RESIDENTIAL,Other
1460,BL101847,Unknown,2001.0,,Residential,RESIDENTIAL,Other
1462,BL101848,Unknown,2002.0,,Residential,RESIDENTIAL,Other
1464,BL101849,Unknown,2002.0,,Residential,RESIDENTIAL,Other
1468,BL101850,Unknown,2002.0,,Residential,RESIDENTIAL,Other
1470,BL101851,Unknown,2002.0,,Residential,RESIDENTIAL,Other
1472,BL101852,Unknown,2003.0,,Residential,RESIDENTIAL,Other
1474,BL101853,Unknown,2003.0,,Residential,RESIDENTIAL,Other
1476,BL101854,Unknown,2003.0,,Residential,RESIDENTIAL,Other
1477,BL101855,Unknown,2003.0,,Residential,RESIDENTIAL,Other
1479,BL101856,Unknown,2003.0,,Residential,RESIDENTIAL,Other
1480,BL101857,Unknown,2004.0,,Residential,RESIDENTIAL,Other
1482,BL101858,Unknown,2004.0,,Residential,RESIDENTIAL,Other
1484,BL101859,Unknown,2004.0,,Residential,RESIDENTIAL,Other
1488,BL101860,Unknown,2005.0,,Residential,RESIDENTIAL,Other
1490,BL101861,Unknown,2007.0,,Residential,RESIDENTIAL,Other
1492,BL101862,Unknown,2015.0,,Residential,RESIDENTIAL,Other
1494,BL101863,Unknown,2016.0,,Residential,RESIDENTIAL,Other
1498,BL101864,Unknown,2015.0,,Industrial,WAREHOUSE,Other
1501,BL101865,Unknown,2016.0,,Residential,RESIDENTIAL,Other
1505,BL101866,Unknown,2016.0,,Residential,RESIDENTIAL,Other
1507,BL101867,Unknown,2016.0,,Residential,RESIDENTIAL,Other
1780,BL10196,Unknown,1996.0,,Residential,RESIDENTIAL,Other
1890,BL102,OTTER LAKE WASTE PROCESSING & DISPOSAL FACILITY,1998.0,90000.0,Industrial,REFUSE FACILITY,Other
2001,BL103640,Unknown,2016.0,,Residential,RESIDENTIAL,Other
2250,BL103507,EMERA OVAL PAVILION,2015.0,4628.0,Recreation/Culture and Entertainment,RECREATION FACILITY,Other
2327,BL103592,Unknown,2016.0,,Residential,RESIDENTIAL,Other
2328,BL103593,Unknown,2016.0,,Residential,RESIDENTIAL,Other
2331,BL103594,Unknown,2016.0,,Residential,RESIDENTIAL,Other
2334,BL103595,Unknown,2016.0,,Residential,RESIDENTIAL,Other
2338,BL103596,Unknown,2016.0,,Residential,RESIDENTIAL,Other
2339,BL103597,Unknown,2016.0,,Residential,RESIDENTIAL,Other
2340,BL103598,Unknown,2016.0,,Residential,RESIDENTIAL,Other
2343,BL103600,Unknown,2016.0,,Commercial,REPAIR GARAGE,Other
2344,BL103601,Unknown,2016.0,,Residential,RESIDENTIAL,Other
2345,BL103602,Unknown,2016.0,,Residential,RESIDENTIAL,Other
2346,BL103604,Unknown,2016.0,,Residential,RESIDENTIAL,Other
2347,BL103605,Unknown,2015.0,,Residential,RESIDENTIAL,Other
2381,BL103622,Unknown,2001.0,,Residential,RESIDENTIAL,Other
2382,BL103623,Unknown,2016.0,,Commercial,OFFICE,Other
2383,BL103624,Unknown,2016.0,,Residential,RESIDENTIAL,Other
2384,BL103625,Unknown,2016.0,,Residential,RESIDENTIAL,Other
2385,BL103626,Unknown,2016.0,,Residential,RESIDENTIAL,Other
2386,BL103627,Unknown,2016.0,,Residential,RESIDENTIAL,Other
2387,BL103628,Unknown,2016.0,,Residential,RESIDENTIAL,Other
2388,BL103629,Unknown,2016.0,,Residential,RESIDENTIAL,Other
2390,BL103630,Unknown,2016.0,,Residential,RESIDENTIAL,Other
2393,BL103631,Unknown,2016.0,,Residential,RESIDENTIAL,Other
2394,BL103632,Unknown,2016.0,,Residential,RESIDENTIAL,Other
2395,BL103633,Unknown,2016.0,,Residential,RESIDENTIAL,Other
2396,BL103634,Unknown,2016.0,,Residential,RESIDENTIAL,Other
2397,BL103635,Unknown,2016.0,,Residential,RESIDENTIAL,Other
2398,BL103636,Unknown,2016.0,,Residential,RESIDENTIAL,Other
2399,BL103637,Unknown,2016.0,,Residential,RESIDENTIAL,Other
2400,BL103639,Unknown,2016.0,,Residential,RESIDENTIAL,Other
2419,BL103641,Unknown,2016.0,,Residential,RESIDENTIAL,Other
2423,BL103642,Unknown,2016.0,,Residential,RESIDENTIAL,Other
2427,BL103643,Unknown,2016.0,,Residential,RESIDENTIAL,Other
2431,BL103644,Unknown,2016.0,,Residential,RESIDENTIAL,Other
2435,BL103645,Unknown,2016.0,,Residential,RESIDENTIAL,Other
2439,BL103646,Unknown,2016.0,,Residential,RESIDENTIAL,Other
2447,BL103647,Unknown,2016.0,,Residential,RESIDENTIAL,Other
2451,BL103648,Unknown,2016.0,,Residential,RESIDENTIAL,Other
2734,BL102690,Unknown,2004.0,,Residential,RESIDENTIAL,Other
2735,BL102691,Unknown,2006.0,,Residential,RESIDENTIAL,Other
2736,BL102692,Unknown,2005.0,,Residential,RESIDENTIAL,Other
2737,BL102693,Unknown,2005.0,,Residential,RESIDENTIAL,Other
2738,BL102694,Unknown,2005.0,,Residential,RESIDENTIAL,Other
2740,BL102695,Unknown,2006.0,,Commercial,OTHER RETAIL,Other
2742,BL102696,Unknown,2016.0,,Residential,RESIDENTIAL,Other
2745,BL102697,Unknown,2016.0,,Residential,RESIDENTIAL,Other
2746,BL102698,Unknown,2016.0,,Residential,RESIDENTIAL,Other
2747,BL102699,Unknown,2015.0,,Residential,RESIDENTIAL,Other
2756,BL102701,Unknown,2015.0,,Residential,RESIDENTIAL,Other
2758,BL102702,Unknown,2015.0,,Residential,RESIDENTIAL,Other
2759,BL102703,Unknown,2016.0,,Commercial,AUTO DEALERSHIP,Other
2760,BL102704,Unknown,2016.0,,Residential,RESIDENTIAL,Other
2761,BL102705,Unknown,2016.0,,Residential,RESIDENTIAL,Other
2762,BL102706,Unknown,2014.0,,Residential,RESIDENTIAL,Other
2764,BL102707,Unknown,2016.0,,Commercial,OTHER RETAIL,Other
2765,BL102708,Unknown,2016.0,,Residential,RESIDENTIAL,Other
2766,BL102709,Unknown,2002.0,,Residential,RESIDENTIAL,Other
2774,BL102712,Unknown,2016.0,,Residential,RESIDENTIAL,Other
2775,BL102713,Unknown,2016.0,,Residential,RESIDENTIAL,Other
2776,BL102714,Unknown,2003.0,,Residential,RESIDENTIAL,Other
2777,BL102715,Unknown,1996.0,,Residential,RESIDENTIAL,Other
2778,BL102716,Unknown,1997.0,,Residential,RESIDENTIAL,Other
2779,BL102717,Unknown,2002.0,,Residential,RESIDENTIAL,Other
2780,BL102718,Unknown,2003.0,,Residential,RESIDENTIAL,Other
2781,BL102719,Unknown,2016.0,,Residential,RESIDENTIAL,Other
2783,BL102720,Unknown,2016.0,,Residential,RESIDENTIAL,Other
2842,BL103649,Unknown,2016.0,,Residential,RESIDENTIAL,Other
2848,BL103650,Unknown,2016.0,,Residential,RESIDENTIAL,Other
2849,BL103651,Unknown,2016.0,,Residential,RESIDENTIAL,Other
2850,BL103652,Unknown,2016.0,,Residential,RESIDENTIAL,Other
2851,BL103653,Unknown,2016.0,,Residential,RESIDENTIAL,Other
2852,BL103654,Unknown,2016.0,,Residential,RESIDENTIAL,Other
2853,BL103655,Unknown,2016.0,,Residential,RESIDENTIAL,Other
2854,BL103656,Unknown,2016.0,,Residential,RESIDENTIAL,Other
2855,BL103657,Unknown,2016.0,,Residential,RESIDENTIAL,Other
2856,BL103658,Unknown,2016.0,,Residential,RESIDENTIAL,Other
2857,BL103659,Unknown,2016.0,,Residential,RESIDENTIAL,Other
2862,BL103660,Unknown,2016.0,,Residential,RESIDENTIAL,Other
2863,BL103661,Unknown,2016.0,,Residential,RESIDENTIAL,Other
2864,BL103662,Unknown,2016.0,,Residential,RESIDENTIAL,Other
2865,BL103663,Unknown,2016.0,,Residential,RESIDENTIAL,Other
2866,BL103664,Unknown,2016.0,,Residential,RESIDENTIAL,Other
2867,BL103665,Unknown,2016.0,,Residential,RESIDENTIAL,Other
2868,BL103666,Unknown,2016.0,,Residential,RESIDENTIAL,Other
2869,BL103667,Unknown,2016.0,,Residential,RESIDENTIAL,Other
2870,BL103668,Unknown,2015.0,,Residential,RESIDENTIAL,Other
2871,BL103669,THE EDISON,2016.0,,Residential,RESIDENTIAL,Other
2883,BL103670,Unknown,2016.0,,Residential,RESIDENTIAL,Other
2884,BL103671,Unknown,2016.0,,Residential,RESIDENTIAL,Other
2885,BL103672,Unknown,2016.0,,Residential,RESIDENTIAL,Other
2889,BL103673,Unknown,2016.0,,Residential,RESIDENTIAL,Other
2890,BL103674,Unknown,2016.0,,Residential,CAMP,Other
2893,BL103675,Unknown,2016.0,,Residential,RESIDENTIAL,Other
2895,BL103676,Unknown,2016.0,,Residential,RESIDENTIAL,Other
2896,BL103677,Unknown,2016.0,,Residential,RESIDENTIAL,Other
2897,BL103678,Unknown,2016.0,,Residential,RESIDENTIAL,Other
2898,BL103679,Unknown,2016.0,,Residential,RESIDENTIAL,Other
2905,BL103680,Unknown,2016.0,,Residential,RESIDENTIAL,Other
2906,BL103681,Unknown,2016.0,,Residential,RESIDENTIAL,Other
2907,BL103682,Unknown,2016.0,,Residential,RESIDENTIAL,Other
2908,BL103683,Unknown,2016.0,,Residential,RESIDENTIAL,Other
2909,BL103684,Unknown,2016.0,,Residential,RESIDENTIAL,Other
2913,BL103685,Unknown,2016.0,,Residential,RESIDENTIAL,Other
2914,BL103686,Unknown,2016.0,,Residential,RESIDENTIAL,Other
2915,BL103687,Unknown,2016.0,,Residential,RESIDENTIAL,Other
2916,BL103688,Unknown,2016.0,,Residential,RESIDENTIAL,Other
2917,BL103689,Unknown,2016.0,,Residential,RESIDENTIAL,Other
3953,BL102428,COLE HARBOUR COMMONS WASHROOMS ,2018.0,872.0,Recreation/Culture and Entertainment,PARK FACILITY,Other
4484,BL106,FIRE STATION 23 - CHEZZETCOOK,1961.0,11993.0,Institutional,FIRE STATION,Other
5071,BL1072,CANA-VANIER HOUSE,2008.0,,Residential,GROUP HOME,Other
5088,BL10729,Unknown,2011.0,,Residential,RESIDENTIAL,Other
5252,BL104837,Unknown,2016.0,,Residential,RESIDENTIAL,Other
5260,BL104838,Unknown,2016.0,,Residential,RESIDENTIAL,Other
5264,BL104839,Unknown,2016.0,,Commercial,OFFICE,Other
5268,BL104840,Unknown,2016.0,,Residential,RESIDENTIAL,Other
5270,BL104841,Unknown,2014.0,,Residential,RESIDENTIAL,Other
5272,BL104842,Unknown,2016.0,,Residential,RESIDENTIAL,Other
5274,BL104843,Unknown,2016.0,,Industrial,WAREHOUSE,Other
5276,BL104844,Unknown,2016.0,,Residential,RESIDENTIAL,Other
5278,BL104845,Unknown,2016.0,,Residential,RESIDENTIAL,Other
5280,BL104846,Unknown,2016.0,,Residential,RESIDENTIAL,Other
5282,BL104847,Unknown,2016.0,,Residential,RESIDENTIAL,Other
5284,BL104848,Unknown,2016.0,,Residential,RESIDENTIAL,Other
5286,BL104849,Unknown,2016.0,,Residential,RESIDENTIAL,Other
5290,BL104850,Unknown,2016.0,,Residential,RESIDENTIAL,Other
5291,BL104851,Unknown,2016.0,,Residential,RESIDENTIAL,Other
5293,BL104852,Unknown,2016.0,,Residential,RESIDENTIAL,Other
5295,BL104853,Unknown,2016.0,,Residential,RESIDENTIAL,Other
5300,BL104854,Unknown,2016.0,,Residential,RESIDENTIAL,Other
5303,BL104855,Unknown,2016.0,,Residential,RESIDENTIAL,Other
5305,BL104856,Unknown,2016.0,,Residential,RESIDENTIAL,Other
5307,BL104857,Unknown,2016.0,,Residential,RESIDENTIAL,Other
5309,BL104858,Unknown,2016.0,,Residential,RESIDENTIAL,Other
5311,BL104859,Unknown,2016.0,,Residential,RESIDENTIAL,Other
5315,BL104860,Unknown,2016.0,,Residential,RESIDENTIAL,Other
5321,BL104861,Unknown,2016.0,,Residential,RESIDENTIAL,Other
5326,BL104862,Unknown,2016.0,,Residential,RESIDENTIAL,Other
5328,BL104863,Unknown,2016.0,,Residential,RESIDENTIAL,Other
5330,BL104864,Unknown,2016.0,,Residential,RESIDENTIAL,Other
5332,BL104865,Unknown,2016.0,,Residential,RESIDENTIAL,Other
5334,BL104866,Unknown,2016.0,,Residential,RESIDENTIAL,Other
5336,BL104867,Unknown,2016.0,,Residential,RESIDENTIAL,Other
5340,BL104868,Unknown,2016.0,,Residential,RESIDENTIAL,Other
5342,BL104869,Unknown,2016.0,,Residential,RESIDENTIAL,Other
5344,BL104870,Unknown,2016.0,,Residential,RESIDENTIAL,Other
5346,BL104871,Unknown,2016.0,,Residential,RESIDENTIAL,Other
5348,BL104872,Unknown,2016.0,,Residential,RESIDENTIAL,Other
5350,BL104873,Unknown,2016.0,,Residential,RESIDENTIAL,Other
5352,BL104874,Unknown,2016.0,,Residential,RESIDENTIAL,Other
5354,BL104875,Unknown,2016.0,,Residential,RESIDENTIAL,Other
5355,BL104876,Unknown,2016.0,,Residential,RESIDENTIAL,Other
5360,BL104877,Unknown,2016.0,,Residential,RESIDENTIAL,Other
5365,BL104878,Unknown,2016.0,,Residential,RESIDENTIAL,Other
5366,BL104879,Unknown,2016.0,,Residential,RESIDENTIAL,Other
5370,BL104880,Unknown,2016.0,,Residential,RESIDENTIAL,Other
5372,BL104881,Unknown,2016.0,,Residential,RESIDENTIAL,Other
5374,BL104882,Unknown,2016.0,,Residential,RESIDENTIAL,Other
5376,BL104883,Unknown,2016.0,,Residential,RESIDENTIAL,Other
5378,BL104884,Unknown,2016.0,,Residential,RESIDENTIAL,Other
5531,BL104656,FRIESIAN PLACE,2015.0,,Residential,RESIDENTIAL,Other
5535,BL104657,Unknown,2016.0,,Residential,RESIDENTIAL,Other
5537,BL104658,Unknown,2016.0,,Residential,RESIDENTIAL,Other
5539,BL104659,Unknown,2016.0,,Residential,RESIDENTIAL,Other
5547,BL104660,Unknown,2016.0,,Residential,RESIDENTIAL,Other
5552,BL104661,Unknown,2016.0,,Residential,RESIDENTIAL,Other
5554,BL104662,Unknown,2016.0,,Residential,RESIDENTIAL,Other
5556,BL104663,Unknown,2016.0,,Residential,RESIDENTIAL,Other
5558,BL104664,Unknown,2016.0,,Residential,RESIDENTIAL,Other
5560,BL104665,Unknown,2016.0,,Residential,RESIDENTIAL,Other
5562,BL104666,Unknown,2016.0,,Residential,RESIDENTIAL,Other
5564,BL104667,Unknown,2016.0,,Residential,RESIDENTIAL,Other
5566,BL104668,Unknown,2016.0,,Residential,RESIDENTIAL,Other
5567,BL104669,Unknown,2016.0,,Residential,RESIDENTIAL,Other
5569,BL105,SHEET HARBOUR RURAL REFUSE DEPOT,1981.0,,Industrial,REFUSE FACILITY,Other
5571,BL104670,Unknown,2016.0,,Residential,RESIDENTIAL,Other
5573,BL104671,Unknown,2016.0,,Residential,RESIDENTIAL,Other
5582,BL104672,Unknown,2016.0,,Residential,RESIDENTIAL,Other
5586,BL104673,Unknown,2016.0,,Residential,RESIDENTIAL,Other
5588,BL104674,Unknown,2016.0,,Residential,RESIDENTIAL,Other
5590,BL104675,Unknown,2016.0,,Residential,RESIDENTIAL,Other
5592,BL104676,Unknown,2016.0,,Residential,RESIDENTIAL,Other
5594,BL104677,Unknown,2016.0,,Residential,RESIDENTIAL,Other
5597,BL104678,Unknown,2016.0,,Residential,RESIDENTIAL,Other
5602,BL104679,Unknown,2016.0,,Residential,RESIDENTIAL,Other
5610,BL104681,Unknown,2016.0,,Residential,RESIDENTIAL,Other
5612,BL104682,Unknown,2016.0,,Residential,RESIDENTIAL,Other
5614,BL104683,Unknown,2016.0,,Residential,RESIDENTIAL,Other
5615,BL104684,Unknown,2016.0,,Commercial,OTHER SERVICE,Other
5617,BL104685,Unknown,2016.0,,Commercial,OTHER SERVICE,Other
5618,BL104686,Unknown,2016.0,,Residential,RESIDENTIAL,Other
5619,BL104687,Unknown,2016.0,,Residential,RESIDENTIAL,Other
5620,BL104688,Unknown,2016.0,,Residential,RESIDENTIAL,Other
5622,BL104689,Unknown,2016.0,,Residential,RESIDENTIAL,Other
5627,BL104690,Unknown,2016.0,,Residential,RESIDENTIAL,Other
5629,BL104691,Unknown,2016.0,,Residential,RESIDENTIAL,Other
5630,BL104692,Unknown,2016.0,,Residential,RESIDENTIAL,Other
5631,BL104693,Unknown,2016.0,,Residential,RESIDENTIAL,Other
5632,BL104694,Unknown,2016.0,,Residential,RESIDENTIAL,Other
5634,BL104695,Unknown,2016.0,,Residential,RESIDENTIAL,Other
5636,BL104696,Unknown,2016.0,,Residential,RESIDENTIAL,Other
5638,BL104698,Unknown,2016.0,,Residential,RESIDENTIAL,Other
5645,BL104699,Unknown,2016.0,,Residential,RESIDENTIAL,Other
5651,BL104700,Unknown,2016.0,,Residential,RESIDENTIAL,Other
5653,BL104701,Unknown,2015.0,,Residential,RESIDENTIAL,Other
5655,BL104702,Unknown,2015.0,,Residential,RESIDENTIAL,Other
5657,BL104703,Unknown,2016.0,,Residential,RESIDENTIAL,Other
5659,BL104704,Unknown,2016.0,,Residential,RESIDENTIAL,Other
5661,BL104705,Unknown,2016.0,,Residential,RESIDENTIAL,Other
5663,BL104706,Unknown,2016.0,,Residential,RESIDENTIAL,Other
5665,BL104707,Unknown,2016.0,,Residential,RESIDENTIAL,Other
5667,BL104708,Unknown,2016.0,,Residential,RESIDENTIAL,Other
5669,BL104709,Unknown,2016.0,,Residential,RESIDENTIAL,Other
5675,BL104710,Unknown,2016.0,,Residential,RESIDENTIAL,Other
5677,BL104711,Unknown,2016.0,,Residential,RESIDENTIAL,Other
5681,BL104712,Unknown,2016.0,,Commercial,OTHER RETAIL,Other
5683,BL104713,Unknown,2016.0,,Residential,RESIDENTIAL,Other
5685,BL104714,Unknown,2016.0,,Residential,RESIDENTIAL,Other
5687,BL104715,Unknown,2016.0,,Residential,RESIDENTIAL,Other
5689,BL104716,Unknown,2016.0,,Residential,RESIDENTIAL,Other
5691,BL104717,Unknown,2016.0,,Residential,RESIDENTIAL,Other
5693,BL104718,Unknown,2016.0,,Residential,RESIDENTIAL,Other
5695,BL104719,Unknown,2016.0,,Residential,RESIDENTIAL,Other
5700,BL104720,Unknown,2016.0,,Residential,RESIDENTIAL,Other
5702,BL104721,Unknown,2016.0,,Residential,RESIDENTIAL,Other
5704,BL104722,Unknown,2016.0,,Residential,RESIDENTIAL,Other
5740,BL104742,Unknown,2016.0,,Residential,RESIDENTIAL,Other
5742,BL104743,Unknown,2016.0,,Residential,RESIDENTIAL,Other
5744,BL104744,Unknown,2016.0,,Residential,RESIDENTIAL,Other
5746,BL104745,Unknown,2016.0,,Residential,RESIDENTIAL,Other
5748,BL104746,Unknown,2016.0,,Residential,RESIDENTIAL,Other
5750,BL104748,Unknown,2016.0,,Residential,RESIDENTIAL,Other
5752,BL104749,Unknown,2016.0,,Residential,RESIDENTIAL,Other
5756,BL104750,Unknown,2016.0,,Residential,RESIDENTIAL,Other
5758,BL104751,Unknown,2016.0,,Residential,RESIDENTIAL,Other
5760,BL104752,Unknown,2016.0,,Residential,RESIDENTIAL,Other
5762,BL104753,Unknown,2016.0,,Residential,RESIDENTIAL,Other
5764,BL104754,Unknown,2016.0,,Residential,RESIDENTIAL,Other
5766,BL104755,Unknown,2016.0,,Residential,RESIDENTIAL,Other
5768,BL104756,Unknown,2016.0,,Residential,RESIDENTIAL,Other
5770,BL104757,Unknown,2016.0,,Residential,RESIDENTIAL,Other
5772,BL104758,Unknown,2016.0,,Residential,RESIDENTIAL,Other
5774,BL104759,Unknown,2016.0,,Residential,RESIDENTIAL,Other
5778,BL104760,Unknown,2016.0,,Residential,RESIDENTIAL,Other
5786,BL104761,Unknown,2016.0,,Residential,RESIDENTIAL,Other
5789,BL104762,Unknown,2016.0,,Residential,RESIDENTIAL,Other
5791,BL104763,Unknown,2016.0,,Residential,RESIDENTIAL,Other
5793,BL104764,Unknown,2016.0,,Residential,RESIDENTIAL,Other
5797,BL104765,Unknown,2016.0,,Residential,RESIDENTIAL,Other
5799,BL104766,Unknown,2016.0,,Residential,RESIDENTIAL,Other
5801,BL104767,Unknown,2016.0,,Residential,RESIDENTIAL,Other
5803,BL104768,Unknown,2016.0,,Residential,RESIDENTIAL,Other
5805,BL104769,Unknown,2016.0,,Residential,RESIDENTIAL,Other
5813,BL104770,Unknown,2016.0,,Residential,RESIDENTIAL,Other
5817,BL104771,Unknown,2016.0,,Residential,RESIDENTIAL,Other
5819,BL104772,Unknown,2016.0,,Residential,RESIDENTIAL,Other
5821,BL104773,Unknown,2016.0,,Residential,RESIDENTIAL,Other
5823,BL104774,Unknown,2016.0,,Residential,RESIDENTIAL,Other
5825,BL104775,Unknown,2016.0,,Residential,RESIDENTIAL,Other
5827,BL104776,Unknown,2016.0,,Residential,RESIDENTIAL,Other
5832,BL104777,Unknown,2016.0,,Residential,RESIDENTIAL,Other
5834,BL104778,Unknown,2016.0,,Residential,RESIDENTIAL,Other
5836,BL104779,Unknown,2016.0,,Residential,RESIDENTIAL,Other
5840,BL104780,Unknown,2016.0,,Residential,RESIDENTIAL,Other
5842,BL104781,Unknown,2016.0,,Residential,RESIDENTIAL,Other
5844,BL104782,Unknown,2016.0,,Residential,RESIDENTIAL,Other
5848,BL104783,Unknown,2016.0,,Residential,RESIDENTIAL,Other
5852,BL104784,Unknown,2016.0,,Residential,RESIDENTIAL,Other
5856,BL104785,Unknown,2016.0,,Residential,RESIDENTIAL,Other
5860,BL104786,Unknown,2016.0,,Residential,RESIDENTIAL,Other
5876,BL104788,Unknown,2016.0,,Residential,RESIDENTIAL,Other
5878,BL104789,Unknown,2016.0,,Residential,RESIDENTIAL,Other
5882,BL104790,Unknown,2016.0,,Residential,RESIDENTIAL,Other
5890,BL104791,Unknown,2016.0,,Residential,RESIDENTIAL,Other
5896,BL104792,Unknown,2016.0,,Residential,RESIDENTIAL,Other
5900,BL104793,Unknown,2016.0,,Residential,RESIDENTIAL,Other
5902,BL104794,Unknown,2016.0,,Residential,RESIDENTIAL,Other
5903,BL10523,Unknown,2011.0,,Residential,RESIDENTIAL,Other
5904,BL104795,Unknown,2016.0,,Residential,RESIDENTIAL,Other
5908,BL104796,Unknown,2016.0,,Residential,RESIDENTIAL,Other
5914,BL104797,Unknown,2016.0,,Residential,RESIDENTIAL,Other
5916,BL104799,Unknown,2016.0,,Residential,RESIDENTIAL,Other
5926,BL104800,Unknown,2016.0,,Residential,RESIDENTIAL,Other
5928,BL104801,Unknown,2016.0,,Residential,RESIDENTIAL,Other
5930,BL104802,Unknown,2016.0,,Residential,RESIDENTIAL,Other
5932,BL104803,Unknown,2016.0,,Residential,RESIDENTIAL,Other
6839,BL11,BEAVER BANK-MONARCH DRIVE ELEMENTARY SCHOOL,1988.0,33700.0,Institutional,PUBLIC SCHOOL,Other
6923,BL1102,CHRISTINA AND HEDLEY G IVANY PLACE,2010.0,,Institutional,NURSING HOME,Other
7433,BL1110,WAVERLEY MEMORIAL ELEMENTARY SCHOOL,2010.0,50000.0,Institutional,PUBLIC SCHOOL,Other
7561,BL112,PEACE PAVILION,1995.0,3125.0,Recreation/Culture and Entertainment,PARK FACILITY,Other
7704,BL112194,Unknown,2016.0,,Residential,RESIDENTIAL,Other
7706,BL112195,Unknown,2016.0,,Residential,RESIDENTIAL,Other
7708,BL112196,Unknown,2016.0,,Residential,RESIDENTIAL,Other
7710,BL112197,Unknown,2016.0,,Residential,RESIDENTIAL,Other
7712,BL112198,Unknown,2016.0,,Residential,RESIDENTIAL,Other
7714,BL112199,Unknown,2016.0,,Residential,RESIDENTIAL,Other
7716,BL1122,Unknown,2011.0,,Commercial,OTHER SERVICE,Other
7726,BL112200,HAZELTON,2015.0,,Residential,RESIDENTIAL,Other
7736,BL112201,Unknown,2016.0,,Residential,RESIDENTIAL,Other
7738,BL112202,Unknown,2016.0,,Residential,RESIDENTIAL,Other
7742,BL112203,Unknown,2016.0,,Residential,BACKYARD SUITE,Other
